date,meme,index,benchmarked_index,twitter_id
1/22/17,Pennywise Dancing,1.0,0.1,908437160407257088
1/22/17,"Homeboy's gonna, like, get it",0.1,0.1,916988637866229761
1/22/17,Trump's Glowing Orb,1.0,0.1,866390578258464770
1/22/17,George Bush's Poncho,100.0,5.0,822501259164995584
1/22/17,BBC Dad,1.0,0.1,840208087118151681
1/22/17,Trump and Pope Francis,2.0,0.1,867295516362776576
1/22/17,#GetOutChallenge,8.0,2.0,838459143161851906
1/22/17,Tyrese Crying,0.1,0.1,926294316183584768
1/22/17,Covfefe,0.1,0.1,869897666741755905
1/22/17,Monkey Haircut,1.0,0.1,913097760903172097
1/22/17,United Airlines Passenger Removal,0.1,0.1,851602092468731906
1/22/17,Game of Thrones,7.0,2.0,892008967160958976
1/22/17,What in Tarnation,3.0,2.0,819377307018231808
1/22/17,Student Athlete,0.1,0.1,840618151117111296
1/22/17,Ben Swolo,0.1,0.1,941587160783659008
1/22/17,Cash Me Outside,100.0,100.0,809084339887734790
1/29/17,Salt Bae,52.0,17.0,817901590141161472
1/29/17,The Ting Goes,1.0,0.1,904208633386369024
1/29/17,Obama & Biden Bromance,13.0,2.0,820045837891870720
1/29/17,Sad Melania,23.0,2.0,823345977029378048
1/29/17,Trump Holding Executive Orders,100.0,7.0,826314938872246273
1/29/17,The Oscars Snafu,2.0,0.1,836084689752494080
1/29/17,Crying Northwestern Kid,8.0,0.1,843242225463046145
1/29/17,Babadook,2.0,0.1,871144014484873217
1/29/17,The Snapchat Hot Dog,2.0,1.0,884621965209858048
1/29/17,Distracted Boyfriend,1.0,0.1,899935787227262976
1/29/17,Joel Osteen Hiding from Harvey Victims,1.0,0.1,902324163339096064
1/29/17,Elf on the Shelf Rhymes,0.1,0.1,908300412884865024
1/29/17,First of All,1.0,0.1,919670609910685703
1/29/17,#BowWowChallenge,0.1,0.1,862294898501931008
1/29/17,Crash Bandicoot Woah,12.0,1.0,892798447362953216
1/29/17,"Brother, May I have some Oats",14.0,1.0,785681417078345728
1/29/17,Side-eyeing Michelle Obama,11.0,1.0,822526328394158081
1/29/17,Dancing Winnie the Pooh,100.0,3.0,825977359643840513
1/29/17,Tiny Trump,2.0,0.1,832627609234075650
1/29/17,RompHim,0.1,0.1,864550584006971397
1/29/17,Shooting Stars,2.0,0.1,841420725747507201
1/29/17,Cracking Open a Cold One with the Boys,0.1,0.1,869692034319237120
1/29/17,Roll Safe,23.0,3.0,826511751151771649
1/29/17,White Guy Blinking,0.1,0.1,832939284948779010
1/29/17,Meryl Streep Singing,2.0,0.1,843514431590031366
1/29/17,"Kendrick Lamar ""DAMN"" Cover",7.0,0.1,851798361841840129
1/29/17,Kellyanne Conway on the Couch,0.1,0.1,836402961030881280
1/29/17,What Redbone Sounds Like,1.0,0.1,863645128929361920
1/29/17,Mocking Spongebob,0.1,0.1,861717771859755008
1/29/17,The Future Liberals Want,0.1,0.1,837316461077069824
1/29/17,Expanding Brain,0.1,0.1,831329672558424064
1/29/17,The Floor Is,1.0,0.1,724263091383484416
1/29/17,Kendall Jenner's Pepsi Ad,3.0,1.0,849404357485481984
1/29/17,Fidget Spinners,1.0,0.1,865601318483746817
1/29/17,Pennywise Dancing,1.0,0.1,908437160407257088
1/29/17,"Homeboy's gonna, like, get it",0.1,0.1,916988637866229761
1/29/17,Trump's Glowing Orb,1.0,0.1,866390578258464770
1/29/17,George Bush's Poncho,15.0,1.0,822501259164995584
1/29/17,BBC Dad,1.0,1.0,840208087118151681
1/29/17,Trump and Pope Francis,2.0,0.1,867295516362776576
1/29/17,#GetOutChallenge,9.0,2.0,838459143161851906
1/29/17,Tyrese Crying,0.1,0.1,926294316183584768
1/29/17,Covfefe,0.1,0.1,869897666741755905
1/29/17,Monkey Haircut,0.1,0.1,913097760903172097
1/29/17,United Airlines Passenger Removal,0.1,0.1,851602092468731906
1/29/17,Game of Thrones,7.0,2.0,892008967160958976
1/29/17,What in Tarnation,5.0,3.0,819377307018231808
1/29/17,Student Athlete,0.1,0.1,840618151117111296
1/29/17,Ben Swolo,0.1,0.1,941587160783659008
1/29/17,Cash Me Outside,34.0,34.0,809084339887734790
2/5/17,Salt Bae,38.0,12.0,817901590141161472
2/5/17,The Ting Goes,1.0,0.1,904208633386369024
2/5/17,Obama & Biden Bromance,9.0,2.0,820045837891870720
2/5/17,Sad Melania,9.0,1.0,823345977029378048
2/5/17,Trump Holding Executive Orders,53.0,4.0,826314938872246273
2/5/17,The Oscars Snafu,1.0,0.1,836084689752494080
2/5/17,Crying Northwestern Kid,8.0,0.1,843242225463046145
2/5/17,Babadook,3.0,0.1,871144014484873217
2/5/17,The Snapchat Hot Dog,1.0,1.0,884621965209858048
2/5/17,Distracted Boyfriend,1.0,0.1,899935787227262976
2/5/17,Joel Osteen Hiding from Harvey Victims,0.1,0.1,902324163339096064
2/5/17,Elf on the Shelf Rhymes,0.1,0.1,908300412884865024
2/5/17,First of All,1.0,0.1,919670609910685703
2/5/17,#BowWowChallenge,0.1,0.1,862294898501931008
2/5/17,Crash Bandicoot Woah,13.0,1.0,892798447362953216
2/5/17,"Brother, May I have some Oats",8.0,1.0,785681417078345728
2/5/17,Side-eyeing Michelle Obama,10.0,1.0,822526328394158081
2/5/17,Dancing Winnie the Pooh,25.0,1.0,825977359643840513
2/5/17,Tiny Trump,1.0,0.1,832627609234075650
2/5/17,RompHim,0.1,0.1,864550584006971397
2/5/17,Shooting Stars,6.0,1.0,841420725747507201
2/5/17,Cracking Open a Cold One with the Boys,0.1,0.1,869692034319237120
2/5/17,Roll Safe,100.0,13.0,826511751151771649
2/5/17,White Guy Blinking,0.1,0.1,832939284948779010
2/5/17,Meryl Streep Singing,0.1,0.1,843514431590031366
2/5/17,"Kendrick Lamar ""DAMN"" Cover",9.0,0.1,851798361841840129
2/5/17,Kellyanne Conway on the Couch,0.1,0.1,836402961030881280
