Aggregation Level,Date,Percent of Articles
Daily,12/4/16,0.407894737
Daily,9/20/15,0.2
Daily,10/3/15,0
Daily,11/4/16,0.165137615
Daily,5/29/16,0.1875
Daily,11/5/15,0.024390244
Daily,1/21/16,0.142857143
Daily,7/1/16,0.119402985
Daily,7/23/15,0.095238095
Daily,10/8/16,0.296703297
Daily,8/8/15,0.576923077
Daily,5/21/16,0.083333333
Daily,6/15/16,0.216981132
Daily,3/17/16,0.069444444
Daily,9/5/16,0.2
Daily,2/23/16,0.050847458
Daily,5/26/16,0.226086957
Daily,8/7/16,0.181818182
Daily,4/6/16,0.072463768
Daily,1/10/16,0.1
Daily,7/26/16,0.3
Daily,12/19/15,0.2
Daily,10/7/16,0.185185185
Daily,8/17/15,0.136363636
Daily,6/6/16,0.204081633
Daily,3/26/16,0.5
Daily,9/10/16,0.325
Daily,5/19/16,0.233766234
Daily,8/14/16,0.365853659
Daily,4/9/16,0.24137931
Daily,1/3/16,0.2
Daily,7/19/16,0.170886076
Daily,12/24/15,0.285714286
Daily,8/22/15,0.333333333
Daily,6/29/16,0.24137931
Daily,3/3/16,0.167597765
Daily,9/19/16,0.14893617
Daily,2/5/16,0.146341463
Daily,12/31/16,0.421052632
Daily,8/9/16,0.188679245
Daily,10/28/15,0.204081633
Daily,11/29/16,0.384180791
Daily,11/28/15,0.285714286
Daily,7/20/16,0.225433526
Daily,12/1/15,0.153846154
Daily,8/31/15,0.074074074
Daily,6/20/16,0.25
Daily,7/14/15,0.133333333
Daily,3/12/16,0.245614035
Daily,9/24/16,0.333333333
Daily,2/12/16,0.210526316
Daily,12/22/16,0.317647059
Daily,8/16/16,0.113636364
Daily,9/6/15,0.3
Daily,10/21/15,0.121212121
Daily,11/22/16,0.305389222
Daily,11/27/15,0.4375
Daily,12/14/15,0.326530612
Daily,7/5/15,0.285714286
Daily,10/30/16,0.25
Daily,1/1/17,0.575757576
Daily,2/11/16,0.071428571
Daily,12/9/16,0.145348837
Daily,8/27/16,0.296296296
Daily,9/1/15,0.236842105
Daily,10/14/15,0.432432432
Daily,11/15/16,0.133858268
Daily,5/8/16,0.173076923
Daily,11/18/15,0.115384615
Daily,4/16/16,0
Daily,1/24/16,0.08
Daily,7/28/15,0.233333333
Daily,10/21/16,0.142857143
Daily,9/8/15,0.129032258
Daily,10/7/15,0.171428571
Daily,11/8/16,0.223684211
Daily,5/1/16,0.054054054
Daily,11/9/15,0.333333333
Daily,4/27/16,0.182795699
Daily,1/17/16,0.277777778
Daily,1/11/17,0.26519337
Daily,7/13/16,0.163636364
Daily,7/19/15,0.294117647
Daily,10/12/16,0.230769231
Daily,8/4/15,0.181818182
Daily,6/11/16,0.157894737
Daily,3/21/16,0.148148148
Daily,9/1/16,0.233333333
Daily,9/19/15,0.368421053
Daily,11/1/16,0.086956522
Daily,5/30/16,0.12
Daily,4/2/16,0.176470588
Daily,1/22/16,0.289855072
Daily,7/6/16,0.413333333
Daily,12/23/15,0.310344828
Daily,10/11/16,0.307692308
Daily,8/13/15,0.153846154
Daily,6/2/16,0.28
Daily,3/30/16,0.191011236
Daily,9/6/16,0.052631579
Daily,9/26/15,0.333333333
Daily,2/18/16,0.138888889
Daily,5/23/16,0.142857143
Daily,8/2/16,0.241134752
Daily,4/5/16,0.095890411
Daily,1/15/16,0.083333333
Daily,7/31/16,0.345454545
Daily,12/28/15,0.392857143
Daily,10/2/16,0.389830508
Daily,8/18/15,0.243902439
Daily,6/25/16,0.166666667
Daily,3/7/16,0.109756098
Daily,1/6/17,0.443925234
Daily,9/15/16,0.086956522
Daily,2/25/16,0.152
Daily,12/27/16,0.336956522
Daily,8/13/16,0.1
Daily,4/12/16,0.246376812
Daily,1/4/16,0.102564103
Daily,7/16/16,0.316666667
Daily,12/5/15,0.125
Daily,8/27/15,0.090909091
Daily,6/16/16,0.202702703
Daily,7/10/15,0.15
Daily,9/20/16,0.147058824
Daily,12/18/16,0.351851852
Daily,8/20/16,0.107142857
Daily,10/25/15,0.071428571
Daily,11/26/16,0.321428571
Daily,12/2/15,0.189189189
Daily,1/8/17,0.326530612
Daily,6/23/16,0.224137931
Daily,7/1/15,0.115384615
Daily,3/9/16,0.087378641
Daily,9/29/16,0.126213592
Daily,2/15/16,0.097560976
Daily,12/21/16,0.234848485
Daily,8/31/16,0.301886792
Daily,9/5/15,0.6
Daily,10/18/15,0.277777778
Daily,11/19/16,0.295454545
Daily,5/12/16,0.156521739
Daily,11/22/15,0.3
Daily,12/11/15,0.25
Daily,7/24/15,0.217391304
Daily,10/25/16,0.139784946
Daily,12/12/16,0.238372093
Daily,9/12/15,0.4
Daily,10/11/15,0.2
Daily,11/12/16,0.197916667
Daily,5/5/16,0.167741935
Daily,11/13/15,0.16
Daily,4/23/16,0.055555556
Daily,1/29/16,0.132352941
Daily,7/9/16,0
Daily,7/31/15,0.038461538
Daily,10/16/16,0.228915663
Daily,12/7/16,0.275555556
Daily,9/23/15,0.487179487
Daily,10/4/15,0.105263158
Daily,11/5/16,0.226666667
Daily,5/2/16,0.131578947
Daily,11/4/15,0.239130435
Daily,4/30/16,0.125
Daily,1/18/16,0.189189189
Daily,7/2/16,0.423076923
Daily,7/22/15,0.175
Daily,10/15/16,0.175438596
Daily,8/9/15,0.310344828
Daily,6/14/16,0.195402299
Daily,3/18/16,0.166666667
Daily,9/2/16,0.323943662
Daily,9/30/15,0.166666667
Daily,2/22/16,0.106060606
Daily,5/27/16,0.172839506
Daily,8/6/16,0.4
Daily,11/3/15,0.069767442
Daily,4/1/16,0.189655172
Daily,1/11/16,0.161290323
Daily,7/27/16,0.243478261
Daily,12/16/15,0.157303371
Daily,10/6/16,0.19047619
Daily,8/14/15,0.052631579
Daily,1/13/17,0.28685259
Daily,6/5/16,0.135135135
Daily,3/27/16,0.36
Daily,9/11/16,0.103448276
Daily,9/25/15,0.428571429
Daily,2/29/16,0.191666667
Daily,5/16/16,0.142857143
Daily,8/1/16,0.328571429
Daily,4/8/16,0.12
Daily,7/28/16,0.135416667
Daily,12/25/15,0.5
Daily,8/23/15,0.133333333
Daily,6/28/16,0.303571429
Daily,3/4/16,0.111111111
Daily,9/16/16,0.217391304
Daily,2/4/16,0.256410256
Daily,12/30/16,0.378378378
Daily,8/8/16,0.118811881
Daily,10/29/15,0.166666667
Daily,11/30/16,0.277777778
Daily,7/21/16,0.197115385
Daily,12/6/15,0.055555556
Daily,8/28/15,0.148148148
Daily,6/19/16,0.184210526
Daily,7/13/15,0.055555556
Daily,3/13/16,0.196428571
Daily,9/25/16,0.255319149
Daily,2/3/16,0.338709677
Daily,12/17/16,0.296296296
Daily,8/19/16,0.104651163
Daily,10/22/15,0.28125
Daily,11/23/16,0.137931034
Daily,11/26/15,0.1875
Daily,12/15/15,0.223300971
Daily,7/4/15,0.125
Daily,10/29/16,0.238095238
Daily,9/30/16,0.385964912
Daily,2/10/16,0.031746032
Daily,12/8/16,0.209876543
Daily,8/26/16,0.173913043
Daily,10/15/15,0.2
Daily,11/16/16,0.214285714
Daily,5/9/16,0.166666667
Daily,11/17/15,0.142857143
Daily,4/19/16,0.05
Daily,1/25/16,0.212765957
Daily,7/27/15,0.095238095
Daily,10/20/16,0.217081851
Daily,1/2/17,0.373626374
Daily,12/3/16,0.333333333
Daily,9/11/15,0.324324324
Daily,10/8/15,0.2
Daily,11/9/16,0.133333333
Daily,5/6/16,0.294117647
Daily,11/8/15,0.32
Daily,4/26/16,0.082474227
Daily,1/30/16,0.038461538
Daily,7/14/16,0.229007634
Daily,7/18/15,0.454545455
Daily,10/19/16,0.142857143
Daily,8/5/15,0.151515152
Daily,6/10/16,0.2
Daily,3/22/16,0.209876543
Daily,9/18/15,0.142857143
Daily,10/1/15,0.121212121
Daily,11/2/16,0.114503817
Daily,5/31/16,0.142857143
Daily,11/7/15,0.083333333
Daily,4/29/16,0.13253012
Daily,1/23/16,0.333333333
Daily,7/7/16,0.378378378
Daily,12/20/15,0.166666667
Daily,10/10/16,0.24122807
Daily,8/10/15,0.333333333
Daily,6/1/16,0.125
Daily,3/31/16,0.168831169
Daily,9/7/16,0.092592593
Daily,9/29/15,0.105263158
Daily,2/17/16,0.080645161
Daily,5/20/16,0.212962963
Daily,8/5/16,0.151785714
Daily,4/4/16,0.166666667
Daily,1/12/16,0.212121212
Daily,7/24/16,0.311111111
Daily,12/29/15,0.384615385
Daily,10/1/16,0.423076923
Daily,8/19/15,0.081081081
Daily,6/24/16,0.142857143
Daily,3/24/16,0.387096774
Daily,9/12/16,0.189873418
Daily,2/24/16,0.146067416
Daily,12/26/16,0.395348837
Daily,8/12/16,0.227272727
Daily,4/15/16,0.089285714
Daily,1/5/16,0.146341463
Daily,7/17/16,0.172413793
Daily,12/26/15,0.5
Daily,8/24/15,0.27027027
Daily,7/9/15,0.206896552
Daily,3/1/16,0.141104294
Daily,1/7/17,0.439393939
Daily,9/21/16,0.142857143
Daily,2/7/16,0.071428571
Daily,12/29/16,0.232142857
Daily,8/23/16,0.1125
Daily,10/26/15,0.205128205
Daily,11/27/16,0.333333333
Daily,11/30/15,0.219512195
Daily,12/3/15,0.166666667
Daily,6/22/16,0.198113208
Daily,3/10/16,0.049180328
Daily,9/26/16,0.125628141
Daily,2/14/16,0
Daily,12/20/16,0.233333333
Daily,8/30/16,0.274193548
Daily,9/4/15,0.130434783
Daily,10/19/15,0.243243243
Daily,11/20/16,0.330097087
Daily,5/13/16,0.192771084
Daily,11/21/15,0.5
Daily,12/8/15,0.307692308
Daily,1/9/17,0.328888889
Daily,7/7/15,0.041666667
Daily,10/24/16,0.287356322
Daily,12/15/16,0.224852071
Daily,8/25/16,0.129032258
Daily,9/15/15,0.107142857
Daily,10/12/15,0.272727273
Daily,11/13/16,0.191489362
Daily,5/10/16,0.14953271
Daily,11/12/15,0.162162162
Daily,4/22/16,0.109090909
Daily,1/26/16,0.265822785
Daily,7/10/16,0.259259259
Daily,7/30/15,0.09375
Daily,10/23/16,0.064516129
Daily,8/1/15,0
Daily,12/6/16,0.318181818
Daily,9/22/15,0.310344828
Daily,10/5/15,0.130434783
Daily,11/6/16,0.209302326
Daily,5/3/16,0.205882353
Daily,11/11/15,0.135135135
Daily,4/25/16,0.192307692
Daily,1/19/16,0.206896552
Daily,7/3/16,0.233333333
Daily,7/21/15,0.137254902
Daily,10/14/16,0.086419753
Daily,8/6/15,0.183673469
Daily,6/13/16,0.453333333
Daily,3/19/16,0.114285714
Daily,1/4/17,0.38647343
Daily,9/3/16,0.074074074
Daily,9/17/15,0.116883117
Daily,2/21/16,0.11627907
Daily,5/24/16,0.147058824
Daily,11/2/15,0.071428571
Daily,1/8/16,0.30952381
Daily,7/4/16,0.46875
Daily,12/17/15,0.137254902
Daily,10/5/16,0.2
Daily,8/15/15,0.076923077
Daily,6/4/16,0.263157895
Daily,3/28/16,0.283018868
Daily,9/8/16,0.191666667
Daily,9/24/15,0.340425532
Daily,2/28/16,0.321428571
Daily,5/17/16,0.261363636
Daily,4/11/16,0.153846154
Daily,1/1/16,0.333333333
Daily,7/29/16,0.275
Daily,12/30/15,0.433333333
Daily,8/20/15,0.137254902
Daily,1/14/17,0.287234043
Daily,6/27/16,0.149253731
Daily,3/5/16,0.084745763
Daily,9/17/16,0.357142857
Daily,2/27/16,0.213114754
Daily,12/25/16,0.441176471
Daily,8/11/16,0.10483871
Daily,10/30/15,0.153846154
Daily,1/6/16,0.183673469
Daily,7/22/16,0.130434783
Daily,12/7/15,0.350877193
Daily,8/29/15,0.153846154
Daily,6/18/16,0.137931034
Daily,7/12/15,0.25
Daily,3/14/16,0.078947368
Daily,9/22/16,0.115789474
Daily,2/2/16,0.25
Daily,12/16/16,0.239726027
Daily,8/18/16,0.1
Daily,10/23/15,0.222222222
Daily,11/24/16,0.275862069
Daily,11/25/15,0.217391304
Daily,12/12/15,0.344827586
Daily,7/3/15,0.133333333
Daily,10/28/16,0.104651163
Daily,2/9/16,0.117647059
Daily,12/11/16,0.25
Daily,8/29/16,0.293103448
Daily,9/3/15,0.145454545
Daily,10/16/15,0.392857143
Daily,11/17/16,0.181372549
Daily,5/14/16,0.068965517
Daily,11/16/15,0.105263158
Daily,4/18/16,0.127272727
Weekly,6/29/15,0.136986301
Weekly,9/19/16,0.166107383
Weekly,1/25/16,0.239726027
Weekly,12/12/16,0.242708333
Weekly,3/7/16,0.113149847
Weekly,5/9/16,0.176372712
Weekly,10/5/15,0.204081633
Weekly,1/18/16,0.17699115
Weekly,7/25/16,0.239845261
Weekly,7/6/15,0.178571429
Weekly,10/31/16,0.134285714
Weekly,12/21/15,0.272189349
Weekly,11/30/15,0.160621762
Weekly,1/11/16,0.156716418
Weekly,7/27/15,0.163522013
Weekly,10/10/16,0.215962441
Weekly,4/25/16,0.134854772
Weekly,11/9/15,0.197860963
Weekly,8/15/16,0.128249567
Weekly,8/31/15,0.178743961
Weekly,9/14/15,0.135951662
Weekly,1/9/17,0.280733945
Weekly,12/7/15,0.285714286
Weekly,8/1/16,0.221166893
Weekly,6/20/16,0.218216319
Weekly,11/14/16,0.190442727
Weekly,9/26/16,0.205918619
Weekly,6/13/16,0.24217119
Weekly,12/14/15,0.207894737
Weekly,9/5/16,0.142857143
Weekly,7/18/16,0.172774869
Weekly,2/29/16,0.135167464
Weekly,8/17/15,0.173728814
Weekly,3/21/16,0.265853659
Weekly,10/19/15,0.186440678
Weekly,8/3/15,0.250965251
Weekly,4/4/16,0.149870801
Weekly,11/23/15,0.317365269
Weekly,7/11/16,0.231391586
Weekly,10/3/16,0.226012793
Weekly,11/2/15,0.148717949
Weekly,5/30/16,0.193877551
Weekly,5/2/16,0.204195804
Weekly,1/4/16,0.191056911
Weekly,5/16/16,0.21314741
Weekly,8/22/16,0.144067797
Weekly,3/14/16,0.096610169
Weekly,7/4/16,0.409937888
Weekly,10/24/16,0.181132075
Weekly,8/8/16,0.175767918
Weekly,11/28/16,0.293501048
Weekly,11/7/16,0.151838039
Weekly,9/12/16,0.166919575
Weekly,9/28/15,0.112745098
Weekly,6/6/16,0.202749141
Weekly,3/28/16,0.223529412
Weekly,12/26/16,0.360576923
Weekly,2/8/16,0.095384615
Weekly,10/26/15,0.168674699
Weekly,1/16/17,0.4375
Weekly,8/24/15,0.219178082
Weekly,10/12/15,0.337016575
Weekly,12/5/16,0.262183236
Weekly,7/20/15,0.139130435
Weekly,8/29/16,0.258547009
Weekly,8/10/15,0.175115207
Weekly,7/13/15,0.158730159
Weekly,5/23/16,0.185897436
Weekly,2/15/16,0.131016043
Weekly,4/11/16,0.17232376
Weekly,12/28/15,0.307692308
Weekly,10/17/16,0.170272813
Weekly,2/22/16,0.183946488
Weekly,11/16/15,0.267045455
Weekly,9/7/15,0.201970443
Weekly,1/2/17,0.408631772
Weekly,4/18/16,0.110539846
Weekly,2/1/16,0.200598802
Weekly,11/21/16,0.253945481
Weekly,9/21/15,0.333333333
Weekly,12/19/16,0.299065421
Weekly,6/27/16,0.192708333
Monthly,10/1/16,0.20181285
Monthly,8/1/16,0.182448037
Monthly,12/1/16,0.268867925
Monthly,7/1/15,0.151129944
Monthly,1/1/16,0.197447447
Monthly,8/1/15,0.204498978
Monthly,11/1/15,0.226390686
Monthly,5/1/16,0.190241902
Monthly,10/1/15,0.212765957
Monthly,3/1/16,0.150093809
Monthly,2/1/16,0.159908624
Monthly,9/1/16,0.171835097
Monthly,1/1/17,0.335376848
Monthly,7/1/16,0.232741617
Monthly,9/1/15,0.196896217
Monthly,12/1/15,0.250555967
Monthly,6/1/16,0.214125056
Monthly,11/1/16,0.194504416
Monthly,4/1/16,0.147058824
